〃,"signo ídem"
イソイソ,"estar muy alegre"
イソイソ,vivaz
イチャイチャ,"manosearse una pareja en público"
いちゃいちゃ,"manosearse una pareja en público"
いちゃつく,retozar
いちゃつく,travesear
いちゃつく,achucharse
いちゃつく,juguetear
いちゃつく,remolonear
いちゃつく,holgazanear
いちゃつく,"ponerse perezoso"
いらっしゃい,"(usado como imperativo cortés) ven"
いらっしゃい,ves
いらっしゃい,quedate
いらっしゃい,bienvenido!
いらしゃい,"(usado como imperativo cortés) ven"
いらしゃい,ves
いらしゃい,quedate
いらしゃい,bienvenido!
いらっしゃいませ,"bienvenido (en tiendas, etc.)"
いらしゃいませ,"bienvenido (en tiendas, etc.)"
いっらしゃいませ,"bienvenido (en tiendas, etc.)"
いらっしゃる,ser
いらっしゃる,estar
いらっしゃる,ir
いらっしゃる,venir
うじゃうじゃ,hormiguear
うじゃうじゃ,bullir
うじゃうじゃ,murmurar
うじゃうじゃ,"chismorrear en voz baja"
ウジャウジャ,hormiguear
ウジャウジャ,bullir
ウジャウジャ,murmurar
ウジャウジャ,"chismorrear en voz baja"
うずうず,"morirse de ganas de"
うずうず,"saltar de impaciencia"
うずうず,"arder de deseos de"
ウズウズ,"morirse de ganas de"
ウズウズ,"saltar de impaciencia"
ウズウズ,"arder de deseos de"
うっかり,"olvidar algo completamente"
ウッカリ,"olvidar algo completamente"
うとうと,"dormirse de puro cansancio"
ウトウト,"dormirse de puro cansancio"
うとっと,"dormirse de puro cansancio"
ウトッと,"dormirse de puro cansancio"
ウトっと,"dormirse de puro cansancio"
うろうろ,impaciente
うろうろ,intranquilo
うろうろ,vago
うろうろ,impreciso
うろうろ,"poco claro"
うろうろ,merodear
うろうろ,vagar
うろうろ,rondar
ウロウロ,impaciente
ウロウロ,intranquilo
ウロウロ,vago
ウロウロ,impreciso
ウロウロ,"poco claro"
ウロウロ,merodear
ウロウロ,vagar
ウロウロ,rondar
うそうそ,impaciente
うそうそ,intranquilo
うそうそ,vago
うそうそ,impreciso
うそうそ,"poco claro"
うそうそ,merodear
うそうそ,vagar
うそうそ,rondar
ウソウソ,impaciente
ウソウソ,intranquilo
ウソウソ,vago
ウソウソ,impreciso
ウソウソ,"poco claro"
ウソウソ,merodear
ウソウソ,vagar
ウソウソ,rondar
狼狽える,desconcertarse
狼狽える,atolondrarse
狼狽える,turbarse
狼狽える,"perder los papeles"
狼狽える,azorarse
うん,sí
うん,mmh
うむ,sí
うむ,mmh
ううむ,sí
ううむ,mmh
うんこ,caca
うんこ,popó
ウンコ,caca
ウンコ,popó
うんざり,hastiarse
うんざり,hartarse
うんざり,aburrirse
うんざり,"estar harto de algo"
ウンザリ,hastiarse
ウンザリ,hartarse
ウンザリ,aburrirse
ウンザリ,"estar harto de algo"
うんち,mierda
うんち,excremento
うんち,heces
鱝,"raya (pez)"
鱝,mantarraya
鱏,"raya (pez)"
鱏,mantarraya
海鷂魚,"raya (pez)"
海鷂魚,mantarraya
ええ,sí
ええ,um
ええ,err
ええ,¿uh?
ええ,grr
ええ,ah
ええ,"¿debería yo?"
ええ,bueno
えー,sí
えー,um
えー,err
えー,¿uh?
えー,grr
えー,ah
えー,"¿debería yo?"
えー,bueno
えっと,bueno...
えっと,"(vamos) a ver..."
えっと,pues...
えっと,veras
えっと,"errr ..."
えっと,"déjame ver"
えっと,bueno
えっと,err....
えーと,bueno...
えーと,"(vamos) a ver..."
えーと,pues...
えーと,veras
えーと,"errr ..."
えーと,"déjame ver"
えーと,bueno
えーと,err....
えーっと,bueno...
えーっと,"(vamos) a ver..."
えーっと,pues...
えーっと,veras
えーっと,"errr ..."
えーっと,"déjame ver"
えーっと,bueno
えーっと,err....
ええと,bueno...
ええと,"(vamos) a ver..."
ええと,pues...
ええと,veras
ええと,"errr ..."
ええと,"déjame ver"
ええと,bueno
ええと,err....
ええっと,bueno...
ええっと,"(vamos) a ver..."
ええっと,pues...
ええっと,veras
ええっと,"errr ..."
ええっと,"déjame ver"
ええっと,bueno
ええっと,err....
えげつない,vulgar
えげつない,villano
えげつない,desagradable
おいでやす,"bienvenido (en tiendas, etc.)"
おこしやす,"bienvenido (en tiendas, etc.)"
おしゃぶり,chupete
オタオタ,"no saber qué hacer"
オタオタ,turbado
オタオタ,azorado
オタオタ,aturullado
おたおた,"no saber qué hacer"
おたおた,turbado
おたおた,azorado
おたおた,aturullado
おちんちん,"pene (término infantil)"
おちんちん,pilila
おっかない,tétrico
おっかない,tenebroso
おっかない,lúgubre
おっちょこちょい,frivolidad
おっちょこちょい,ligereza
おっぱい,pechos
おっぱい,senos
おっぱい,mamar
おっぱい,pezones
おっぱい,tetas
オッパイ,pechos
オッパイ,senos
オッパイ,mamar
オッパイ,pezones
オッパイ,tetas
御田,"""oden"": un tipo de cocido"
お田,"""oden"": un tipo de cocido"
オドオド,temeroso
オドオド,miedoso
おどおど,temeroso
おどおど,miedoso
お鍋,maceta
お鍋,tiesto
お鍋,"nombre típico de una criada en el periodo Edo"
お鍋,"trabajar de noche"
お鍋,"mujer con síntomas de desorden de identidad de género (ej. una transvesti)"
御鍋,maceta
御鍋,tiesto
御鍋,"nombre típico de una criada en el periodo Edo"
御鍋,"trabajar de noche"
御鍋,"mujer con síntomas de desorden de identidad de género (ej. una transvesti)"
屁,pedo
屁,flatulencia
屁,ventoseo
おばこ,virgen
おべっか,halago
おべっか,lisonja
おべんちゃら,halago
おべんちゃら,lisonja
おまんこ,vagina
おまんこ,"tener relaciones sexuales"
おめこ,vagina
おめこ,"tener relaciones sexuales"
おや,oh!
おや,oh?
おやおや,"expresión que denota desesperación o hastío: ¡vaya!, ¡qué fastidio!, ¡jo!, ¡pues sí que...!"
おろおろ,nervioso
おろおろ,"movimientos torpes dubitativos"
オロオロ,nervioso
オロオロ,"movimientos torpes dubitativos"
お握り,"bola de arroz (a menudo triangular, a veces con un relleno y envuelto en nori)"
御握り,"bola de arroz (a menudo triangular, a veces con un relleno y envuelto en nori)"
お蔭,"gracias a (algo o alguien)"
御蔭,"gracias a (algo o alguien)"
お陰,"gracias a (algo o alguien)"
御陰,"gracias a (algo o alguien)"
お下げ,trenzas
お下げ,"cabello trenzado"
御下げ,trenzas
御下げ,"cabello trenzado"
お化け,fantasma
お化け,aparición
お化け,espectro
御化け,fantasma
御化け,aparición
御化け,espectro
お嫁さん,"novia (casamiento)"
お菓子,dulces
お菓子,golosinas
お菓子,caramelos
お菓子,confituras
御菓子,dulces
御菓子,golosinas
御菓子,caramelos
御菓子,confituras
お願いします,"por favor"
御願いします,"por favor"
お帰りなさい,"¡bienvenido a casa!"
御帰りなさい,"¡bienvenido a casa!"
お客さん,invitado
お客さん,huésped
お客さん,visitante
お客さん,cliente
御客さん,invitado
御客さん,huésped
御客さん,visitante
御客さん,cliente
お客様,invitado
お客様,huésped
お客様,visitante
お客様,cliente
お客さま,invitado
お客さま,huésped
お客さま,visitante
お客さま,cliente
御客様,invitado
御客様,huésped
御客様,visitante
御客様,cliente
御客さま,invitado
御客さま,huésped
御客さま,visitante
御客さま,cliente
お休みなさい,"Buenas noches"
お休みなさい,"(exp,int) Buenas noches"
御休みなさい,"Buenas noches"
御休みなさい,"(exp,int) Buenas noches"
お宮,"Templo Sintoísta"
お供,acompañante
御供,acompañante
お伴,acompañante
御伴,acompañante
お金,dinero
御金,dinero
お兄さん,"hermano mayor"
お兄さん,"(vocativo) joven"
お兄さん,chico
お兄さん,"(vocativo) ¿Señor?"
御兄さん,"hermano mayor"
御兄さん,"(vocativo) joven"
御兄さん,chico
御兄さん,"(vocativo) ¿Señor?"
お結び,"bola de arroz"
お結び,"""omusubi"" (pastelillo de arroz envuelto en alga desecada)"
御結び,"bola de arroz"
御結び,"""omusubi"" (pastelillo de arroz envuelto en alga desecada)"
お見舞い,"preguntar por la salud de alguien"
お見舞,"preguntar por la salud de alguien"
御見舞い,"preguntar por la salud de alguien"
御見舞,"preguntar por la salud de alguien"
お好み焼き,"""okonomiyaki"" (tortitas japonesas a la plancha)"
お好み焼,"""okonomiyaki"" (tortitas japonesas a la plancha)"
御好み焼き,"""okonomiyaki"" (tortitas japonesas a la plancha)"
御好み焼,"""okonomiyaki"" (tortitas japonesas a la plancha)"
お絞り,"toallita húmeda (para limpiar la cara y manos)"
お絞り,"toallita de manos"
御絞り,"toallita húmeda (para limpiar la cara y manos)"
御絞り,"toallita de manos"
お三時,merienda
お三時,refrigerio
お三時,piscolabis
御三時,merienda
御三時,refrigerio
御三時,piscolabis
お参り,"visita a la tumbe de alguien"
お参り,peregrinación
御参り,"visita a la tumbe de alguien"
御参り,peregrinación
お産,parto
お産,alumbramiento
お産,nacimiento
御産,parto
御産,alumbramiento
御産,nacimiento
お仕舞い,fin
お仕舞い,acabose
お仕舞い,colmo
お終い,fin
お終い,acabose
お終い,colmo
御仕舞い,fin
御仕舞い,acabose
御仕舞い,colmo
御終い,fin
御終い,acabose
御終い,colmo
お仕舞,fin
お仕舞,acabose
お仕舞,colmo
御仕舞,fin
御仕舞,acabose
御仕舞,colmo
お使い,siervo
お使い,súbdito
お使い,vasallo
御使い,siervo
御使い,súbdito
御使い,vasallo
お遣い,siervo
お遣い,súbdito
お遣い,vasallo
御遣い,siervo
御遣い,súbdito
御遣い,vasallo
お使,siervo
お使,súbdito
お使,vasallo
御使,siervo
御使,súbdito
御使,vasallo
お姉さん,"hermana mayor"
お姉さん,"(vocativo) jovencita"
お姉さん,"señora (a las camareras)"
お姉さん,"madre (usado por las geishas para referirse a sus superioras)"
お姉さん,"(vocativo) ¿Señora?"
お姐さん,"hermana mayor"
お姐さん,"(vocativo) jovencita"
お姐さん,"señora (a las camareras)"
お姐さん,"madre (usado por las geishas para referirse a sus superioras)"
お姐さん,"(vocativo) ¿Señora?"
御姉さん,"hermana mayor"
御姉さん,"(vocativo) jovencita"
御姉さん,"señora (a las camareras)"
御姉さん,"madre (usado por las geishas para referirse a sus superioras)"
御姉さん,"(vocativo) ¿Señora?"
御姐さん,"hermana mayor"
御姐さん,"(vocativo) jovencita"
御姐さん,"señora (a las camareras)"
御姐さん,"madre (usado por las geishas para referirse a sus superioras)"
御姐さん,"(vocativo) ¿Señora?"
お子さん,niño
御子さん,niño
お辞儀,inclinación
お辞儀,reverencia
御辞儀,inclinación
御辞儀,reverencia
お邪魔します,"discúlpe (que le moleste, interrumpa, etc.)"
お邪魔します,"saludo usado al entrar en casa de alguien"
御邪魔します,"discúlpe (que le moleste, interrumpa, etc.)"
御邪魔します,"saludo usado al entrar en casa de alguien"
お守り,amuleto
お守り,talismán
御守り,amuleto
御守り,talismán
お守,amuleto
お守,talismán
御守,amuleto
御守,talismán
お手上げ,"me rindo"
お手あげ,"me rindo"
御手上げ,"me rindo"
お手洗い,retrete
お手洗い,baño
お手洗い,lavabo
お手洗い,lavamanos
御手洗い,retrete
御手洗い,baño
御手洗い,lavabo
御手洗い,lavamanos
お手伝いさん,sirvienta
お手伝いさん,criada
御手伝いさん,sirvienta
御手伝いさん,criada
お巡りさん,"agente policíaco"
お巡りさん,esbirro
御巡りさん,"agente policíaco"
御巡りさん,esbirro
お召し物,ropa
お召し物,vestimenta
お召し物,atuendo
御召し物,ropa
御召し物,vestimenta
御召し物,atuendo
お勧め,recomendación
お勧め,consejo
お勧め,sugerencia
お薦め,recomendación
お薦め,consejo
お薦め,sugerencia
お奨め,recomendación
お奨め,consejo
お奨め,sugerencia
御勧め,recomendación
御勧め,consejo
御勧め,sugerencia
御薦め,recomendación
御薦め,consejo
御薦め,sugerencia
御奨め,recomendación
御奨め,consejo
御奨め,sugerencia
お嬢さん,hija
お嬢さん,jovencita
御嬢さん,hija
御嬢さん,jovencita
お尻,trasero
お尻,nalgas
御尻,trasero
御尻,nalgas
お世辞,adulación
お世辞,galantería
御世辞,adulación
御世辞,galantería
お世話になる,"recibir atenciones"
御世話になる,"recibir atenciones"
お生憎様,"lo siento por usted"
お生憎様,"lo siento por ti"
お生憎様,"lo lamento por ti"
お生憎さま,"lo siento por usted"
お生憎さま,"lo siento por ti"
お生憎さま,"lo lamento por ti"
御生憎様,"lo siento por usted"
御生憎様,"lo siento por ti"
御生憎様,"lo lamento por ti"
お先に,"usted primero por favor"
お先に,"pase usted delante"
お前,"(fam) tú"
お前,te
お前,ti
お前,"presencia (de un alto personaje)"
御前,"(fam) tú"
御前,te
御前,ti
御前,"presencia (de un alto personaje)"
お前さん,tú
お前さん,"mi querido(a)"
お前さん,oye
御前さん,tú
御前さん,"mi querido(a)"
御前さん,oye
お祖父さん,abuelo
お祖父さん,anciano
お爺さん,abuelo
お爺さん,anciano
御爺さん,abuelo
御爺さん,anciano
御祖父さん,abuelo
御祖父さん,anciano
お祖母さん,abuela
お祖母さん,anciana
お婆さん,abuela
お婆さん,anciana
御祖母さん,abuela
御祖母さん,anciana
御婆さん,abuela
御婆さん,anciana
お早うございます,"Buenos días"
お孫さん,nieto
御孫さん,nieto
お待ち遠様,"disculpe la espera"
お待ち遠様,"perdón por haberle hecho esperar"
御待ち遠様,"disculpe la espera"
御待ち遠様,"perdón por haberle hecho esperar"
お待ち遠さま,"disculpe la espera"
お待ち遠さま,"perdón por haberle hecho esperar"
お袋,"(mi) madre"
お袋,madre
お袋,mamá
お袋,"mi vieja"
御袋,"(mi) madre"
御袋,madre
御袋,mamá
御袋,"mi vieja"
お母,"(mi) madre"
お母,madre
お母,mamá
お母,"mi vieja"
お大事に,cuídese
お宅,"su casa (o vuestra casa)"
お宅,"su hogar"
お宅,"su familia"
お宅,"su esposo"
お宅,"su organización"
お宅,usted
お宅,vos
御宅,"su casa (o vuestra casa)"
御宅,"su hogar"
御宅,"su familia"
御宅,"su esposo"
御宅,"su organización"
御宅,usted
御宅,vos
お誕生日おめでとうございます,"Feliz Cumpleaños"
御誕生日おめでとうございます,"Feliz Cumpleaños"
お知らせ,aviso
お知らせ,notificación
御知らせ,aviso
御知らせ,notificación
お報せ,aviso
お報せ,notificación
御報せ,aviso
御報せ,notificación
お茶,"té (verde)"
御茶,"té (verde)"
お猪口,vasito
お猪口,chupito
お猪口,copita
御猪口,vasito
御猪口,chupito
御猪口,copita
お喋り,parlanchín
お喋り,locuaz
御喋り,parlanchín
御喋り,locuaz
お転婆,chicazo
お転婆,"chica que se comporta como un chico"
御転婆,chicazo
御転婆,"chica que se comporta como un chico"
お土産,regalo
お土産,souvenir
お土産,"recuerdo (regalo de viaje)"
御土産,regalo
御土産,souvenir
御土産,"recuerdo (regalo de viaje)"
お凸,"frente (de la cara)"
御凸,"frente (de la cara)"
お父さん,padre
御父さん,padre
お腹,estómago
お腹,vientre
御腹,estómago
御腹,vientre
お中,estómago
お中,vientre
御中,estómago
御中,vientre
お返し,"regalo devuelto"
お返し,"favor devuelto"
お返し,venganza
お返し,"cambio (en una transacción en metálico)"
御返し,"regalo devuelto"
御返し,"favor devuelto"
御返し,venganza
御返し,"cambio (en una transacción en metálico)"
お母さん,madre
御母さん,madre
お母様,madre
御母様,madre
お母さま,madre
お盆,"""obon"" (fiesta de difuntos que se celebra en agosto)"
御盆,"""obon"" (fiesta de difuntos que se celebra en agosto)"
お漏らし,mear
お漏らし,orinar
お話し中,"ocupado (al teléfono)"
お話中,"ocupado (al teléfono)"
御話し中,"ocupado (al teléfono)"
御話中,"ocupado (al teléfono)"
お洒落,"elegantemente vestido"
お洒落,"con estilo"
お洒落,"a la última moda"
お洒落,"alguien que viste elegantemente"
御洒落,"elegantemente vestido"
御洒落,"con estilo"
御洒落,"a la última moda"
御洒落,"alguien que viste elegantemente"
畏まりました,"De acuerdo"
畏まりました,"por supuesto"
畏まりました,cierto
かしら,"me pregunto si..."
悴む,entumecerse
梶木,"pez espada"
梶木,emperador
旗魚,"pez espada"
旗魚,emperador
片口鰯,boquerón
カチカチ,duro
カチカチ,tieso
カチカチ,rígido
コチコチ,duro
コチコチ,tieso
コチコチ,rígido
カチコチ,duro
カチコチ,tieso
カチコチ,rígido
かちかち,duro
かちかち,tieso
かちかち,rígido
こちこち,duro
こちこち,tieso
こちこち,rígido
かちこち,duro
かちこち,tieso
かちこち,rígido
カチン,"hacer algo un clic"
かちん,"hacer algo un clic"
かっか,"con fuerza "
かっか,"con furia "
かっか,"con rabia "
かっか,vigorosamente
カッカ,"con fuerza "
カッカ,"con furia "
カッカ,"con rabia "
カッカ,vigorosamente
カツカツ,"por los pelos "
カツカツ,"muy justo "
カツカツ,"a punto de "
カツカツ,"por poco "
カツカツ,"al borde de "
カツカツ,rayando
かつかつ,"por los pelos "
かつかつ,"muy justo "
かつかつ,"a punto de "
かつかつ,"por poco "
かつかつ,"al borde de "
かつかつ,rayando
かな,"me pregunto si... (partícula de final de frase)"
かな,"debería...? (partícula interrogativa usada cuando se piensa en voz alta)"
かな,"es eso?"
かな,"(con un verbo negativo) me gustaria que... "
かな,"eso espero"
かなあ,"me pregunto si... (partícula de final de frase)"
かなあ,"debería...? (partícula interrogativa usada cuando se piensa en voz alta)"
かなあ,"es eso?"
かなあ,"(con un verbo negativo) me gustaria que... "
かなあ,"eso espero"
かなー,"me pregunto si... (partícula de final de frase)"
かなー,"debería...? (partícula interrogativa usada cuando se piensa en voz alta)"
かなー,"es eso?"
かなー,"(con un verbo negativo) me gustaria que... "
かなー,"eso espero"
かなぁ,"me pregunto si... (partícula de final de frase)"
かなぁ,"debería...? (partícula interrogativa usada cuando se piensa en voz alta)"
かなぁ,"es eso?"
かなぁ,"(con un verbo negativo) me gustaria que... "
かなぁ,"eso espero"
敵わない,inevitable
適わない,inevitable
かも知れない,"es posible"
かも知れない,quizás
かも知れない,"puede ser"
かも知れません,"es posible"
かも知れません,quizás
かも知れません,"puede ser"
から,"desde (e.g. tiempo, espacio, cantidad)"
から,"de (origen)"
から,por
から,porque
から,como
から,"ya que"
から,"puesto que"
から,"a través de (e.g. ventana, vestíbulo)"
から,después
から,"tras (seguido de un verbo en forma-te)"
からから,"estar algo seco"
からから,"tener sed"
からから,"reírse con fruición"
からから,gaak
カラカラ,"estar algo seco"
カラカラ,"tener sed"
カラカラ,"reírse con fruición"
カラカラ,gaak
からり,completamente
からり,despejado
からり,abierto
か弱い,frágil
か弱い,débil
か弱い,delicado
か弱い,desvalido
がさがさ,seco
がさがさ,reseco
がさがさ,áspero
がさがさ,crujiente
ガサガサ,seco
ガサガサ,reseco
ガサガサ,áspero
ガサガサ,crujiente
ガタガタ,traqueteo
ガタガタ,ruido
がたがた,traqueteo
がたがた,ruido
ガチャガチャ,traqueteo
ガチャガチャ,"máquina dispensadora de bolas que normalmente contienen juguetes"
がちゃがちゃ,traqueteo
がちゃがちゃ,"máquina dispensadora de bolas que normalmente contienen juguetes"
がっかり,"desanimarse "
がっかり,"llevarse un chasco "
がっかり,"quedar decepcionado "
がっかり,desilusionarse
がっかり,decepcionarse
がっかり,desengañarse
がっくり,desanimado
ガックリ,desanimado
がっしり,robusto
がっしり,macizo
がっしり,recio
がっちり,robusto
がっちり,macizo
がっちり,recio
ガッチリ,robusto
ガッチリ,macizo
ガッチリ,recio
ガツガツ,"comer a dos carrillos "
ガツガツ,"con voracidad "
ガツガツ,"con ansia"
がつがつ,"comer a dos carrillos "
がつがつ,"con voracidad "
がつがつ,"con ansia"
がぶがぶ,tragar
がぶがぶ,"glup glup"
ガブガブ,tragar
ガブガブ,"glup glup"
ガミガミ,"protestar a gritos "
ガミガミ,"quejarse a voces "
ガミガミ,"desgañitarse "
ガミガミ,vociferar
がみがみ,"protestar a gritos "
がみがみ,"quejarse a voces "
がみがみ,"desgañitarse "
がみがみ,vociferar
がやがや,refunfuñar
がやがや,gruñir
がやがや,murmurar
ガヤガヤ,refunfuñar
ガヤガヤ,gruñir
ガヤガヤ,murmurar
かやかや,refunfuñar
かやかや,gruñir
かやかや,murmurar
カヤカヤ,refunfuñar
カヤカヤ,gruñir
カヤカヤ,murmurar
ガラガラ,traqueteado
ガラガラ,vacio
ガラガラ,sonaja
ガラガラ,traqueteando
ガラガラ,ruidosamente
がらがら,traqueteado
がらがら,vacio
がらがら,sonaja
がらがら,traqueteando
がらがら,ruidosamente
がらんどう,"completamente vacío"
がり勉,empollón
ガリ勉,empollón
我利勉,empollón
きちきち,"apretado "
きちきち,"ceñido "
きちきち,"muy justo "
きちきち,"correctamente "
きちきち,"bien "
きちきち,"como Dios manda"
キチキチ,"apretado "
キチキチ,"ceñido "
キチキチ,"muy justo "
キチキチ,"correctamente "
キチキチ,"bien "
キチキチ,"como Dios manda"
きちっと,aseadamente
きちっと,ordenadamente
きちっと,correctamente
きちんと,apropiadamente
きちんと,debidamente
きっかり,exactamente
きっかり,"en punto"
キッカリ,exactamente
キッカリ,"en punto"
きっちり,exacto
きっちり,perfecto
屹度,seguramente
屹度,"sin dudas"
屹度,certeramente
屹度,"sin falla"
急度,seguramente
急度,"sin dudas"
急度,certeramente
急度,"sin falla"
きっぱり,rotundamente
キッパリ,rotundamente
きつい,intenso
きつい,estricto
きつい,duro
きつい,decidido
きつい,vigoroso
きつい,formidable
きつい,fuerte
きつい,cerrado
キツい,intenso
キツい,estricto
キツい,duro
キツい,decidido
キツい,vigoroso
キツい,formidable
キツい,fuerte
キツい,cerrado
キョロキョロ,"mirar alrededor con mirada inquieta "
キョロキョロ,"escudriñar con ojos nerviosos"
キョロキョロ,"en todas direcciones y con curiosidad"
きょろきょろ,"mirar alrededor con mirada inquieta "
きょろきょろ,"escudriñar con ojos nerviosos"
きょろきょろ,"en todas direcciones y con curiosidad"
きょときょと,"mirar alrededor con mirada inquieta "
きょときょと,"escudriñar con ojos nerviosos"
きょときょと,"en todas direcciones y con curiosidad"
キョトキョト,"mirar alrededor con mirada inquieta "
キョトキョト,"escudriñar con ojos nerviosos"
キョトキョト,"en todas direcciones y con curiosidad"
きらきら,brillando
きらきら,chispeando
きらきら,centellando
キラキラ,brillando
キラキラ,chispeando
キラキラ,centellando
きんきん,"ruido metálico molesto "
きんきん,"voz aguda y estridente "
きんきん,"dolor agudo "
きんきん,punzada
キンキン,"ruido metálico molesto "
キンキン,"voz aguda y estridente "
キンキン,"dolor agudo "
キンキン,punzada
ぎこちない,incómodo
ぎごちない,incómodo
ギスギス,"áspero "
ギスギス,"rudo "
ギスギス,"desagradable "
ギスギス,"antipático "
ギスギス,"arisco "
ギスギス,"flaco "
ギスギス,"esquelético "
ギスギス,"en los huesos"
ぎすぎす,"áspero "
ぎすぎす,"rudo "
ぎすぎす,"desagradable "
ぎすぎす,"antipático "
ぎすぎす,"arisco "
ぎすぎす,"flaco "
ぎすぎす,"esquelético "
ぎすぎす,"en los huesos"
ぎっしり,"apretado "
ぎっしり,"apretujado "
ぎっしり,"repleto "
ぎっしり,"atestado "
ぎっしり,"atiborrado "
ぎっしり,"colmado "
ぎっしり,lleno
ぎっしり,ajustadamente
ぎっしり,totalmente
ぎっしり,completamente
ギッシリ,"apretado "
ギッシリ,"apretujado "
ギッシリ,"repleto "
ギッシリ,"atestado "
ギッシリ,"atiborrado "
ギッシリ,"colmado "
ギッシリ,lleno
ギッシリ,ajustadamente
ギッシリ,totalmente
ギッシリ,completamente
ぎっちり,"apretado "
ぎっちり,"apretujado "
ぎっちり,"repleto "
ぎっちり,"atestado "
ぎっちり,"atiborrado "
ぎっちり,"colmado "
ぎっちり,lleno
ぎっちり,ajustadamente
ぎっちり,totalmente
ぎっちり,completamente
ギッチリ,"apretado "
ギッチリ,"apretujado "
ギッチリ,"repleto "
ギッチリ,"atestado "
ギッチリ,"atiborrado "
ギッチリ,"colmado "
ギッチリ,lleno
ギッチリ,ajustadamente
ギッチリ,totalmente
ギッチリ,completamente
ぎゅうぎゅう,abarrotado
ぎゅうぎゅう,apretado
ぎょっと,conmocionarse
ぎょっと,impresionarse
ギョッと,conmocionarse
ギョッと,impresionarse
