word,reading,translation,tags
お中,おなか,mage,n/pol
御中,おなか,mage,n/pol/jlpt-2
お母さん,おかあさん,mamma,n/hon/jlpt-5
御母さん,おかあさん,mamma,n/hon
片口鰯,かたくちいわし,sardell,n/uk
片口鰯,カタクチイワシ,sardell,n/uk
カチン,カチン,"klang av glas",adv-to/n/on-mim
かちん,かちん,"klang av glas",adv-to/n/on-mim
ガチャン,ガチャン,brak,adv-to/n/on-mim
がちゃん,がちゃん,brak,adv-to/n/on-mim
ガチン,ガチン,brak,adv-to/n/on-mim
がちん,がちん,brak,adv-to/n/on-mim
がらがら蛇,がらがらへび,skallerorm,n/uk
がらがら蛇,ガラガラヘビ,skallerorm,n/uk
キイキイ,キイキイ,gnälla,adv/on-mim
キーキー,キーキー,gnälla,adv/on-mim
キィキィ,キィキィ,gnälla,adv/on-mim
擽る,くすぐる,kittla,v5r/vt/uk
擽ぐる,くすぐる,kittla,v5r/vt/uk
梔子,くちなし,gardenia,n/uk
梔子,クチナシ,gardenia,n/uk
梔子,しし,gardenia,n/uk
巵子,くちなし,gardenia,n/uk
巵子,クチナシ,gardenia,n/uk
巵子,しし,gardenia,n/uk
山梔子,くちなし,gardenia,n/uk
山梔子,クチナシ,gardenia,n/uk
山梔子,さんしし,gardenia,n/uk
梔,くちなし,gardenia,n/uk
梔,クチナシ,gardenia,n/uk
クラクラ,クラクラ,yrsel,adv/adv-to/vs/on-mim
くらくら,くらくら,yrsel,adv/adv-to/vs/on-mim
ぐんぐん,ぐんぐん,stadigt,adv/adv-to/on-mim
こぼし話,こぼしばなし,klagande,n
零し話,こぼしばなし,klagande,n
させ子,させこ,hora,n
さっさ,さっさ,raskt,adv-to/adv/on-mim
サッサ,サッサ,raskt,adv-to/adv/on-mim
吃逆,しゃっくり,hickning,n/vs/uk/jlpt-1
喋り,しゃべり,prat,n/uk
スラスラ,スラスラ,smidigt,adv/adv-to/on-mim
すらすら,すらすら,smidigt,adv/adv-to/on-mim
すらり,すらり,smärt,adv/adv-to/on-mim
ずんずん,ずんずん,hastigt,adv/on-mim
然して,そして,och,conj/uk/jlpt-1
然して,しかして,och,conj/uk/jlpt-1
而して,そして,och,conj/uk
而して,しかして,och,conj/uk
そぞろ歩き,そぞろあるき,"gå i sakta mak",n/vs
漫ろ歩き,そぞろあるき,"gå i sakta mak",n/vs
其れで,それで,och,conj/uk/jlpt-1
其れで,それで,därför,conj/uk/jlpt-1
それに加えて,それにくわえて,härjämte,exp
ちょっくら,ちょっくら,litet,adv
躑躅,つつじ,azalea,n/uk
躑躅,ツツジ,azalea,n/uk
とろろ芋,とろろいも,jams,n
薯蕷芋,とろろいも,jams,n
薯蕷藷,とろろいも,jams,n
どん底,どんぞこ,nederst,n
何故なら,なぜなら,eftersom,conj/uk/jlpt-1
にちゃにちゃ,にちゃにちゃ,slemmig,adv-to/vs/n/adv/on-mim
に就いて,について,om,exp/uk
に就いて,について,gällande,exp/uk
に就て,について,om,exp/uk
に就て,について,gällande,exp/uk
に付いて,について,om,exp/uk
に付いて,について,gällande,exp/uk
のこのこ,のこのこ,sorglöst,adv/adv-to/on-mim
のみならず,のみならず,dessutom,conj
ぴしっと,ぴしっと,"med besked",adv/on-mim/vs
ぴちぴち,ぴちぴち,livlig,adv-to/vs/on-mim/adj-no
ピチピチ,ピチピチ,livlig,adv-to/vs/on-mim/adj-no
ブウブウ,ブウブウ,kvirr,adv/on-mim/n/chn
ブーブー,ブーブー,kvirr,adv/on-mim/n/chn
ぶうぶう,ぶうぶう,kvirr,adv/on-mim/n/chn
打つかる,ぶつかる,kollidera,v5r/vi/uk
打つかる,ぶつかる,krocka,v5r/vi/uk
へぼ医者,へぼいしゃ,kvacksalvare,n
ぺてん,ぺてん,skojeri,n
ペテン,ペテン,skojeri,n
ぼろい,ぼろい,lönsam,adj-i
ボロい,ボロい,lönsam,adj-i
み使い,みつかい,ängel,n
むにゃむにゃ,むにゃむにゃ,mumla,adv/adv-to/on-mim
むにゃむにゃ,むにゃむにゃ,mummel,adv/adv-to/on-mim
ムニャムニャ,ムニャムニャ,mumla,adv/adv-to/on-mim
ムニャムニャ,ムニャムニャ,mummel,adv/adv-to/on-mim
もにゃもにゃ,もにゃもにゃ,mumla,adv/adv-to/on-mim
もにゃもにゃ,もにゃもにゃ,mummel,adv/adv-to/on-mim
モニャモニャ,モニャモニャ,mumla,adv/adv-to/on-mim
モニャモニャ,モニャモニャ,mummel,adv/adv-to/on-mim
めっきり,めっきり,märkligt,adv
若し,もし,om,adv/uk/jlpt-1
若し,もし,ifall,adv/uk/jlpt-1
もしそうなら,もしそうなら,"om så är",exp
もし可能ならば,もしかのうならば,"om möjligt",exp
やっと,やっと,"sent omsider",adv/on-mim
やんちゃ,やんちゃ,odygdig,adj-na/n
やんちゃん,やんちゃん,odygdig,adj-na/n
アーキテクチャ,アーキテクチャ,byggnadskonst,n
アーキテクチャー,アーキテクチャー,byggnadskonst,n
アーキテクチュア,アーキテクチュア,byggnadskonst,n
アキテクチャ,アキテクチャ,byggnadskonst,n
アーギュメント,アーギュメント,argument,n
アーケード,アーケード,arkad,n
アーケイド,アーケイド,arkad,n
アーゴノミックス,アーゴノミックス,ergonomi,n
アーチェリー,アーチェリー,bågskytte,n
アーチェリ,アーチェリ,bågskytte,n
アーティスト,アーティスト,artist,n
アーティスト,アーティスト,konstnär,n
アーティスト,アーティスト,konstnärinna,n
アーチスト,アーチスト,artist,n
アーチスト,アーチスト,konstnär,n
アーチスト,アーチスト,konstnärinna,n
アーティスツ,アーティスツ,artist,n
アーティスツ,アーティスツ,konstnär,n
アーティスツ,アーティスツ,konstnärinna,n
アーティクル,アーティクル,artikel,n
アーテクル,アーテクル,artikel,n
アーデント,アーデント,ivrig,n
アート,アート,konst,n
アーバン,アーバン,stadsmässig,n
アービトレーション,アービトレーション,skiljedom,n
アーミー,アーミー,armé,n
アーミィ,アーミィ,armé,n
アーム,アーム,arm,n
アームチェア,アームチェア,karmstol,n
アームチェアー,アームチェアー,karmstol,n
アーモンド,アーモンド,mandel,n
アモンド,アモンド,mandel,n
アイシェード,アイシェード,ögonskärm,n
アイシング,アイシング,icing,n
アイスティ,アイスティ,iste,n
アイスティー,アイスティー,iste,n
アイス・ティ,アイス・ティ,iste,n
アイス・ティー,アイス・ティー,iste,n
アイソトープ,アイソトープ,isotop,n
アイソトニック,アイソトニック,isotonisk,adj-f
アイソメトリック,アイソメトリック,isometrisk,adj-f
アイソレーション,アイソレーション,renodling,n
アイデア,アイデア,idé,n
アイディア,アイディア,idé,n
アィディア,アィディア,idé,n
アイデアリズム,アイデアリズム,idealism,n
アイデアリズム,アイデアリズム,idealitet,n
アイディアリズム,アイディアリズム,idealism,n
アイディアリズム,アイディアリズム,idealitet,n
アイディアリスト,アイディアリスト,idealist,n
アイディリスト,アイディリスト,idealist,n
アイデンティティ,アイデンティティ,identitet,n
アイデンティティー,アイデンティティー,identitet,n
アイデンテティ,アイデンテティ,identitet,n
アイデンティファイ,アイデンティファイ,identifiera,n/vs
アイデンテファイ,アイデンテファイ,identifiera,n/vs
アイデンティフィケーション,アイデンティフィケーション,identifiering,n
アイデンティフィケーション,アイデンティフィケーション,legitimation,n
アイデンテフィケイション,アイデンテフィケイション,identifiering,n
アイデンテフィケイション,アイデンテフィケイション,legitimation,n
アイデンティフケイション,アイデンティフケイション,identifiering,n
アイデンティフケイション,アイデンティフケイション,legitimation,n
アイドリング,アイドリング,tomgång,n
アイドル,アイドル,idol,n/adj-f
アイドゥル,アイドゥル,idol,n/adj-f
アイブロー,アイブロー,ögonbryn,n
アイブラウ,アイブラウ,ögonbryn,n
アイブロウ,アイブロウ,ögonbryn,n
アイボリー,アイボリー,elfenben,n
アイヴォリー,アイヴォリー,elfenben,n
アイボリ,アイボリ,elfenben,n
アイリス,アイリス,iris,n
アイリス,アイリス,regnbågshinna,n
アイリス,アイリス,svärdslilja,n
アイロニー,アイロニー,ironi,n
イロニー,イロニー,ironi,n
アウター,アウター,yttre,adj-f/n/abbr
アウタ,アウタ,yttre,adj-f/n/abbr
アウタースペース,アウタースペース,"yttre rymden",n
アウター・スペース,アウター・スペース,"yttre rymden",n
アウタルキー,アウタルキー,autarki,n
アウト,アウト,ut,n/adj-f/exp
アウトウエア,アウトウエア,"nöta ut",n
アウト・ウエア,アウト・ウエア,"nöta ut",n
アウトカウント,アウトカウント,"räkna pengar",n
アウト・カウント,アウト・カウント,"räkna pengar",n
アウトサイダー,アウトサイダー,outsider,n
アウトスタンディング,アウトスタンディング,uteliggande,n
アウトドアライフ,アウトドアライフ,friluftsliv,n
アウトドア・ライフ,アウトドア・ライフ,friluftsliv,n
アウトドアゲーム,アウトドアゲーム,utelek,n
アウトドア・ゲーム,アウトドア・ゲーム,utelek,n
アウトプット,アウトプット,output,n/vs
アウトライン,アウトライン,kontur,n
アウトゥライン,アウトゥライン,kontur,n
アウトロー,アウトロー,fredlös,n
アカウント,アカウント,konto,n
アカシア,アカシア,akacia,n
アカシヤ,アカシヤ,akacia,n
アケイシャ,アケイシャ,akacia,n
アコースティック,アコースティック,akustisk,n/adj-na
アクースティック,アクースティック,akustisk,n/adj-na
アコウスティック,アコウスティック,akustisk,n/adj-na
アクアマリン,アクアマリン,akvamarin,n
アクアマリーン,アクアマリーン,akvamarin,n
アクアラング,アクアラング,dykapparat,n
アクシデント,アクシデント,olyckshändelse,n
アクション,アクション,aktion,n
アクセサリー,アクセサリー,medskyldig,n
アクセサリ,アクセサリ,medskyldig,n
アクセス,アクセス,access,n/vs
アクセス,アクセス,tillgång,n/vs
アクセス,アクセス,tillträde,n/vs
アクセスタイム,アクセスタイム,accesstid,n
アクセス・タイム,アクセス・タイム,accesstid,n
アクセプタンス,アクセプタンス,växelaccept,n
アクセプト,アクセプト,acceptera,n
アクセラレータ,アクセラレータ,accelerator,n
アクセレレーター,アクセレレーター,accelerator,n
アクセラレーター,アクセラレーター,accelerator,n
アクセルレータ,アクセルレータ,accelerator,n
アクセント,アクセント,accent,n
アクター,アクター,aktör,n
アクター,アクター,komediant,n
アクター,アクター,scenkonstnär,n
アクター,アクター,skådespelare,n
アクタ,アクタ,aktör,n
アクタ,アクタ,komediant,n
アクタ,アクタ,scenkonstnär,n
アクタ,アクタ,skådespelare,n
アクティビティ,アクティビティ,aktivitet,n
アクティビティー,アクティビティー,aktivitet,n
アクティヴィティ,アクティヴィティ,aktivitet,n
アクテビティ,アクテビティ,aktivitet,n
アクティヴィティー,アクティヴィティー,aktivitet,n
アクテビティー,アクテビティー,aktivitet,n
アクティベーション,アクティベーション,aktivering,n
アクトレス,アクトレス,aktris,n
アクトゥレス,アクトゥレス,aktris,n
アクリル酸,アクリルさん,akrylsyra,n
アクロバティック,アクロバティック,akrobatisk,adj-na
アクロバチック,アクロバチック,akrobatisk,adj-na
アクロバット,アクロバット,akrobat,n
アクロポリス,アクロポリス,akropol,n
アグリーメント,アグリーメント,enighet,n
アグリメント,アグリメント,enighet,n
アグリカルチャー,アグリカルチャー,agronomie,n
アグリカルチャ,アグリカルチャ,agronomie,n
アゲンスト,アゲンスト,varemot,n/adj-no/abbr/adj-na
アゲインスト,アゲインスト,varemot,n/adj-no/abbr/adj-na
アゲィンスト,アゲィンスト,varemot,n/adj-no/abbr/adj-na
アコーディオン,アコーディオン,dragspel,n
アコーディオン,アコーディオン,knappdragspel,n
アコーデオン,アコーデオン,dragspel,n
アコーデオン,アコーデオン,knappdragspel,n
アコーディアン,アコーディアン,dragspel,n
アコーディアン,アコーディアン,knappdragspel,n
アゴラフォビア,アゴラフォビア,agorafobi,n
アサート,アサート,påstå,n/vs
アサイド,アサイド,avsides,n
アサインメント,アサインメント,långläxa,n
アシスタント,アシスタント,assistent,n
アスィスタント,アスィスタント,assistent,n
アシドーシス,アシドーシス,acidos,n
アシンメトリー,アシンメトリー,asymmetri,n
亜細亜,あじあ,Asien,n/adj-no/uk
亜細亜,アジア,Asien,n/adj-no/uk
アジテーション,アジテーション,upprördhet,n
アジテイション,アジテイション,upprördhet,n
アジテーター,アジテーター,agitator,n
アジャスト,アジャスト,avväga,n/vs
アスタリスク,アスタリスク,asterisk,n
アステリスク,アステリスク,asterisk,n
アステック,アステック,aztek,n
アステック,アステック,aztekisk,n
アステカ,アステカ,aztek,n
アステカ,アステカ,aztekisk,n
アストリンゼント,アストリンゼント,adstringerande,n
アストリンゼン,アストリンゼン,adstringerande,n
アストロノート,アストロノート,astronaut,n
アストロノウト,アストロノウト,astronaut,n
アストロロジー,アストロロジー,astrologi,n
アストロロジー,アストロロジー,stjärntydning,n
アスピック,アスピック,aladåb,n
アスピリン,アスピリン,aspirin,n
アスファルト,アスファルト,asfalt,n/adj-no
アスファルト,アスファルト,asfaltera,n/adj-no
アスペクト,アスペクト,aspekt,n
アスリート,アスリート,friidrottare,n
アスレチックス,アスレチックス,"allmän idrott",n
アセス,アセス,bedömning,n/abbr
アセスメント,アセスメント,bedömning,n
アセチレン,アセチレン,acetylen,n
アセチリーン,アセチリーン,acetylen,n
アセテート,アセテート,acetat,n
アセテート,アセテート,acetatsilke,n
アセトン,アセトン,aceton,n/adj-no
アセンブリ,アセンブリ,församling,n
アセンブリー,アセンブリー,församling,n
アセンブル,アセンブル,"sätta ihop",n/vs
アソシエーション,アソシエーション,association,n
アタック,アタック,attack,n/vs
アタッチ,アタッチ,attaché,n
アタッチメント,アタッチメント,tillgivenhet,n
アダージョ,アダージョ,adagio,n
アダジオ,アダジオ,adagio,n
アダルト,アダルト,vuxen,n
アダルトエデュケーション,アダルトエデュケーション,folkbildning,n
アダルト・エデュケーション,アダルト・エデュケーション,folkbildning,n
アット,アット,hos,unc
あっと,あっと,hos,unc
アッパー,アッパー,övre,n
アッパーカット,アッパーカット,uppercut,n
アップツーデート,アップツーデート,tidsenlig,adj-na
アップ・ツー・デート,アップ・ツー・デート,tidsenlig,adj-na
アップライト,アップライト,redbar,n
アップル,アップル,äpple,n
アテンション,アテンション,artighet,n
アトミック,アトミック,atomisk,n
アトム,アトム,atom,n
アトモスフィア,アトモスフィア,atmosfär,n
アトモスフェア,アトモスフェア,atmosfär,n
アトラクション,アトラクション,attraktion,n
アトランダム,アトランダム,slumpvis,adj-na
アットランダム,アットランダム,slumpvis,adj-na
アト・ランダム,アト・ランダム,slumpvis,adj-na
アット・ランダム,アット・ランダム,slumpvis,adj-na
アトリウム,アトリウム,atrium,n
アトリビュート,アトリビュート,attribuera,n
アトリビュート,アトリビュート,attribut,n
アドバイス,アドバイス,råd,n/vs
アドヴァイス,アドヴァイス,råd,n/vs
アドバタイズメント,アドバタイズメント,annons,n
アドバタイズメント,アドバタイズメント,kungörelse,n
アドゥバタイズメント,アドゥバタイズメント,annons,n
アドゥバタイズメント,アドゥバタイズメント,kungörelse,n
アドバンス,アドバンス,antåga,n
アドヴァンス,アドヴァンス,antåga,n
アドバンテージ,アドバンテージ,förmån,n
アドヴァンテージ,アドヴァンテージ,förmån,n
アドバンテッジ,アドバンテッジ,förmån,n
アドベンチャー,アドベンチャー,äventyr,n
アドヴェンチャー,アドヴェンチャー,äventyr,n
アドミッション,アドミッション,medgivande,n
アドミッションフリー,アドミッションフリー,"gratis inträde",n
アドミッション・フリー,アドミッション・フリー,"gratis inträde",n
アドレス,アドレス,adress,n
アドゥレッス,アドゥレッス,adress,n
アドレッシング,アドレッシング,adressering,n
アナーキー,アナーキー,anarki,n/adj-na
アナーキスト,アナーキスト,anarkist,n
アナキスト,アナキスト,anarkist,n
アナウンサー,アナウンサー,speaker,n
アナウンサ,アナウンサ,speaker,n
アナウンスメント,アナウンスメント,bebådelse,n
アナクロニズム,アナクロニズム,anakronism,n
アナグラム,アナグラム,anagram,n
アナテマ,アナテマ,anatema,n
アナロジー,アナロジー,analogi,n
アニバーサリー,アニバーサリー,årsdag,n
アニマル,アニマル,animal,n
アニマル,アニマル,animalisk,n
アニマル,アニマル,djur,n
アニマル,アニマル,djurisk,n
アニミズム,アニミズム,animism,n
アニメーション,アニメーション,livlighet,n/adj-no
アニュアルレポート,アニュアルレポート,årsberättelse,n
アニュアル・レポート,アニュアル・レポート,årsberättelse,n
アヌス,アヌス,anus,n
アネクドート,アネクドート,anekdot,n
アノード,アノード,anod,n
アノニマス,アノニマス,anonym,n
アノラック,アノラック,anorak,n
アノレクシア,アノレクシア,anorexi,n
アノレキシア,アノレキシア,anorexi,n
アパーチャ,アパーチャ,apertur,n
アパーチュア,アパーチュア,apertur,n
アパーチャー,アパーチャー,apertur,n
アパシー,アパシー,lojhet,n
アパタイト,アパタイト,aptit,n
アパルトヘイト,アパルトヘイト,apartheid,n
アパルトヘイド,アパルトヘイド,apartheid,n
アビリティー,アビリティー,begåvning,n
アピール,アピール,appell,n/vs
アッピール,アッピール,appell,n/vs
アフェア,アフェア,sak,n
アフェアー,アフェアー,sak,n
アフォリズム,アフォリズム,aforism,n
アフォルズム,アフォルズム,aforism,n
アフカーナ,アフカーナ,afrikand,n
アフター,アフター,efter,n
アフターケア,アフターケア,eftervård,n
アフター・ケア,アフター・ケア,eftervård,n
アフターシェーブローション,アフターシェーブローション,rakvatten,n
アフターヌーン,アフターヌーン,eftermiddag,n
アフタヌーン,アフタヌーン,eftermiddag,n
アーフタヌーン,アーフタヌーン,eftermiddag,n
アフタヌーンドレス,アフタヌーンドレス,visitdräkt,n
アフターヌーンドレス,アフターヌーンドレス,visitdräkt,n
アフタヌーン・ドレス,アフタヌーン・ドレス,visitdräkt,n
アフターヌーン・ドレス,アフターヌーン・ドレス,visitdräkt,n
アフリカーンス,アフリカーンス,afrikaans,n
アブストラクション,アブストラクション,abstraktion,n
アプライ,アプライ,applicera,n
アプリオリ,アプリオリ,"a priori",adj-na
アプリオリ,アプリオリ,apriorisk,adj-na
ア・プリオリ,ア・プリオリ,"a priori",adj-na
ア・プリオリ,ア・プリオリ,apriorisk,adj-na
アプリケーション,アプリケーション,ansökan,n
アプリケイション,アプリケイション,ansökan,n
アプリコット,アプリコット,aprikos,n
アヘッド,アヘッド,framåt,n
アベニュー,アベニュー,allé,n
アベニュー,アベニュー,aveny,n
アヴェニュー,アヴェニュー,allé,n
アヴェニュー,アヴェニュー,aveny,n
アヴェニュ,アヴェニュ,allé,n
アヴェニュ,アヴェニュ,aveny,n
アベレージ,アベレージ,medeltal,n
アベレージ,アベレージ,genomsnitt,n
アペタイザー,アペタイザー,aptitretare,n
アペタイザー,アペタイザー,aptitsup,n
アペリティフ,アペリティフ,aperitif,n
アペリチフ,アペリチフ,aperitif,n
アボート,アボート,abortera,n/vs
アポート,アポート,abortera,n/vs
アポイントメント,アポイントメント,"avtalat möte",n
アポステリオリ,アポステリオリ,"a posteriori",n/adj-na
アポステリオリ,アポステリオリ,aposteriorisk,n/adj-na
アポストロフィ,アポストロフィ,apostrof,n
アポストロフィー,アポストロフィー,apostrof,n
アマチュア,アマチュア,amatör,n/adj-no
アマチュア,アマチュア,dilettant,n/adj-no
アマルガム,アマルガム,amalgam,n
アミューズメント,アミューズメント,förnöjelse,n
アムネスティ,アムネスティ,amnesti,n
アメシスト,アメシスト,ametist,n
アメジスト,アメジスト,ametist,n
アメリカナイズ,アメリカナイズ,amerikanisera,n/vs
アメリカニズム,アメリカニズム,amerikanism,n
アメリカン,アメリカン,amerikansk,n/adj-f/abbr
アメリカ豹,アメリカひょう,jaguar,n
アモルファス,アモルファス,amorf,adj-f
アヤトラ,アヤトラ,ayatolla,n
アーヤトッラー,アーヤトッラー,ayatolla,n
アラー,アラー,Allah,n
アッラー,アッラー,Allah,n
アッラーフ,アッラーフ,Allah,n
アラーム,アラーム,alarm,n
アライアンス,アライアンス,allians,n
アラカルト,アラカルト,"à la carte",n
ア・ラ・カルト,ア・ラ・カルト,"à la carte",n
アラベスク,アラベスク,arabesk,n
アリーナ,アリーナ,arena,n
アリーナ,アリーナ,rännarbana,n
アリア,アリア,aria,n
アリゲーター,アリゲーター,alligator,n
アリストクラシー,アリストクラシー,adelsvälde,n
アリストクラシー,アリストクラシー,aristokrati,n
アリストクラット,アリストクラット,aristokrat,n
アリバイ,アリバイ,alibi,n
アルカイズム,アルカイズム,arkaism,n
アルカイスム,アルカイスム,arkaism,n
アーケイズム,アーケイズム,arkaism,n
アルカディア,アルカディア,Arkadien,n/adj-no
アルカロイド,アルカロイド,alkaloid,n/adj-no
アルコール,アルコール,alkohol,n/adj-no
アルコール,アルコール,sprit,n/adj-no
アルコホル,アルコホル,alkohol,n/adj-no
アルコホル,アルコホル,sprit,n/adj-no
アルコール依存症,アルコールいぞんしょう,alkoholism,n
アルゴリズム,アルゴリズム,algoritm,n/adj-no
アルゴル,アルゴル,ALGOL,n
アルデヒド,アルデヒド,aldehyd,n
アルバイト,アルバイト,deltidsarbete,n/vs
アルバイト,アルバイト,extraknäck,n/vs
アルバトロス,アルバトロス,albatross,n
アルバム,アルバム,album,n
アルパイン,アルパイン,alpin,n
アルパカ,アルパカ,alpacka,n
アルファベット,アルファベット,alfabet,n/adj-no
アルファ線,アルファせん,alfastrålar,n
α線,アルファせん,alfastrålar,n
アルブミン,アルブミン,äggvita,n
アルプス,アルプス,Alperna,n/adj-no
アルマナック,アルマナック,almanacka,n
アルマニャック,アルマニャック,armagnac,n
アル中,アルちゅう,alkoholism,n/abbr
アレゴリー,アレゴリー,allegori,n
アレルギー,アレルギー,allergi,n/adj-no
アレンジ,アレンジ,ordna,n/vs
アレンジメント,アレンジメント,anordning,n
アレンジャー,アレンジャー,arrangör,n
アロエ,アロエ,aloe,n
アロケーション,アロケーション,allokering,n
アロケート,アロケート,allokera,n
アワー,アワー,timma,n
アウア,アウア,timma,n
アンカー,アンカー,ankare,n/abbr
アンカー,アンカー,ankra,n/abbr
アンカー,アンカー,förankra,n/abbr
アンカ,アンカ,ankare,n/abbr
アンカ,アンカ,ankra,n/abbr
アンカ,アンカ,förankra,n/abbr
アングル,アングル,angler,n
アングロサクソン,アングロサクソン,anglosaxare,n/adj-no
アングロサクソン,アングロサクソン,anglosaxisk,n/adj-no
アングロサクソン,アングロサクソン,anglosaxiska,n/adj-no
アングロ・サクソン,アングロ・サクソン,anglosaxare,n/adj-no
アングロ・サクソン,アングロ・サクソン,anglosaxisk,n/adj-no
アングロ・サクソン,アングロ・サクソン,anglosaxiska,n/adj-no
アンコール,アンコール,bissering,n/vs
アンサンブル,アンサンブル,ensemble,n
アンサンブル,アンサンブル,samspel,n
アンジュレーション,アンジュレーション,vågrörelse,n
アンソロジー,アンソロジー,antologi,n
アンタゴニズム,アンタゴニズム,antagonism,n
アンダーグラウンド,アンダーグラウンド,underjordisk,n
アンダーシャツ,アンダーシャツ,undertröja,n
アンダーシャート,アンダーシャート,undertröja,n
アンダーライン,アンダーライン,"stryka under",n
アンチョビー,アンチョビー,sardell,n
アンチョビ,アンチョビ,sardell,n
アントニム,アントニム,antonym,n
アンハッピー,アンハッピー,olycklig,n
アンバサダー,アンバサダー,ambassadör,n
アンバサダー,アンバサダー,sändebud,n
アンパイア,アンパイア,stridsdomare,n
アンパイヤ,アンパイヤ,stridsdomare,n
アンビバレンス,アンビバレンス,ambivalens,n/adj-no
アンビヴァレンス,アンビヴァレンス,ambivalens,n/adj-no
アンフェタミン,アンフェタミン,amfetamin,n
アンプル,アンプル,ampull,n
アンプレアブル,アンプレアブル,ospelbar,adj-no/n
アンプレアブル,アンプレアブル,"inte spelbar",adj-no/n
アンプレヤブル,アンプレヤブル,ospelbar,adj-no/n
アンプレヤブル,アンプレヤブル,"inte spelbar",adj-no/n
アンプレイアブル,アンプレイアブル,ospelbar,adj-no/n
アンプレイアブル,アンプレイアブル,"inte spelbar",adj-no/n
アンプレーアブル,アンプレーアブル,ospelbar,adj-no/n
アンプレーアブル,アンプレーアブル,"inte spelbar",adj-no/n
アンプロンプチュ,アンプロンプチュ,impromptu,n
アンペア,アンペア,ampere,n
アンモニア,アンモニア,ammoniak,n/adj-no
アンラッキー,アンラッキー,oturlig,adj-na
アンロック,アンロック,"låsa upp",n/vs
イーグル,イーグル,örn,n
イーサ,イーサ,eter,n
イージーゴーイング,イージーゴーイング,maklig,n
イースター,イースター,påsk,n
イーストコースト,イーストコースト,ostkusten,n
イースト・コースト,イースト・コースト,ostkusten,n
イーゼル,イーゼル,staffli,n
イーブン,イーブン,jämn,n
イエスマン,イエスマン,jasägare,n
イエスマン,イエスマン,nickedocka,n
イエロー,イエロー,gul,adj-na/n
イェロー,イェロー,gul,adj-na/n
イェロウ,イェロウ,gul,adj-na/n
イクイップメント,イクイップメント,materiel,n
イグアナ,イグアナ,leguan,n
イグニッションキー,イグニッションキー,startnyckel,n
イグニッション・キー,イグニッション・キー,startnyckel,n
イグルー,イグルー,igloo,n
イコノグラフィー,イコノグラフィー,ikonografi,n
イコライザ,イコライザ,kvittering,n
イコライザー,イコライザー,kvittering,n
イスラム,イスラム,islam,n/adj-no
